frame_index,icon_c0_r0,icon_c0_r1,icon_c0_r2,icon_c1_r0,icon_c1_r1,icon_c1_r2,icon_c2_r0,icon_c2_r1,icon_c2_r2
235,0,1,1,2,3,0,5,5,0
236,1,2,7,5,1,1,1,6,1
237,1,2,7,4,4,4,4,4,1
238,2,5,5,3,7,4,6,1,1
239,4,4,4,6,2,2,0,2,2
240,5,3,0,1,1,0,5,5,0
241,6,4,4,2,6,2,2,5,5
242,2,5,5,2,2,2,4,1,6
243,4,4,4,1,1,0,4,4,1
244,0,0,1,3,0,3,2,5,5
245,0,1,1,1,5,1,1,2,0
246,2,2,5,4,4,4,1,6,1
247,2,5,5,4,0,4,0,2,2
248,2,7,2,4,4,4,0,2,2
249,1,2,7,3,7,4,3,7,3
250,1,1,2,3,7,4,1,1,1
251,2,7,2,1,1,0,1,2,0
252,1,1,1,3,7,4,4,1,6
253,3,0,4,2,6,2,1,2,0
254,5,5,3,4,4,4,0,4,4
255,7,2,2,3,0,3,4,4,4
256,5,5,3,7,4,0,4,1,6
257,1,1,2,4,0,4,0,3,7
258,1,2,7,5,1,1,1,2,0
259,4,4,4,1,1,1,1,1,1
260,0,4,6,5,1,1,5,0,3
261,5,5,3,4,4,4,0,0,4
262,2,2,2,0,3,3,3,4,0
263,1,1,1,0,3,3,4,1,6
264,5,5,3,6,2,2,1,2,0
265,3,0,3,3,0,3,3,4,0
266,2,5,5,3,7,4,4,4,4
267,7,2,2,1,0,2,2,2,5
268,6,4,4,4,0,4,4,0,0
269,6,4,4,2,2,2,1,6,1
270,4,4,1,3,0,3,0,0,4
271,0,3,3,1,0,2,0,3,7
272,0,1,1,3,7,4,2,2,5
273,2,5,5,3,3,7,0,3,7
274,7,2,2,3,3,3,3,4,0
275,0,3,3,4,1,5,5,0,3
276,3,0,3,7,4,0,3,3,4
277,0,0,1,4,0,4,4,4,4
278,4,1,0,0,3,3,3,4,0
279,4,6,4,3,7,4,6,1,1
280,5,3,0,4,4,1,2,5,5
281,4,4,4,0,4,4,4,4,1
282,3,3,0,1,1,0,3,3,3
283,7,2,2,5,1,1,3,7,3
284,2,7,2,1,1,1,7,3,3
285,0,4,6,1,1,0,2,5,5
286,1,2,7,3,3,3,3,7,3
287,2,2,2,0,2,6,4,4,4
288,6,4,4,4,1,5,2,2,5
289,5,3,0,0,3,3,0,3,7
290,5,5,3,4,4,1,3,7,3
291,0,0,1,1,1,0,0,3,7
292,1,2,7,3,7,4,0,0,4
293,0,1,1,4,0,4,4,4,4
294,2,5,5,1,5,1,1,2,0
295,3,3,0,0,3,3,3,3,4
296,1,0,0,2,6,2,1,6,1
297,4,4,4,0,3,3,2,2,5
298,0,3,3,5,1,1,4,4,1
299,6,4,4,0,2,6,6,1,1
300,6,4,4,4,4,4,2,2,2
301,0,3,3,3,7,4,2,0,2
302,2,5,5,3,3,7,4,4,4
303,0,0,1,0,3,3,2,5,5
304,0,3,3,7,4,0,1,1,1
305,5,3,0,0,3,3,3,7,3
306,2,2,5,1,5,1,4,4,4
307,0,3,3,3,3,3,4,0,0
308,5,3,0,4,4,4,1,2,0
309,1,0,0,6,2,2,3,3,3
310,2,2,2,3,7,4,3,3,4
311,2,2,2,0,4,4,0,3,7
312,0,0,1,3,3,7,0,2,2
313,3,0,3,6,2,2,3,4,0
314,4,1,0,0,3,3,5,0,3
315,1,1,2,6,2,2,3,4,0
316,1,2,7,6,2,2,7,3,3
317,7,2,2,7,4,0,0,0,4
318,1,2,7,4,1,5,0,4,4
319,4,4,1,4,0,4,3,7,3
320,3,0,3,7,4,0,1,2,0
321,2,2,5,3,0,3,5,5,0
322,4,4,4,1,0,2,4,1,6
323,3,0,3,1,1,0,4,0,0
324,3,3,3,3,7,4,6,1,1
325,4,6,4,4,0,4,0,0,4
326,0,3,3,4,4,1,4,4,1
327,4,1,0,4,4,4,1,2,0
328,0,1,1,2,3,0,4,4,1
329,0,3,3,2,3,0,3,4,0
330,4,4,4,6,2,2,0,4,4
331,2,5,5,3,3,7,1,6,1
332,4,4,4,3,3,7,5,0,3
333,3,0,3,2,2,3,7,3,3
334,4,1,0,2,3,0,4,0,0
335,4,6,4,6,2,2,3,4,0
336,6,4,4,1,5,1,2,2,5
337,1,1,1,1,1,1,4,4,1
338,1,0,0,3,3,3,0,4,4
339,2,2,2,5,1,1,4,0,0
340,6,4,4,7,4,0,0,2,2
341,7,2,2,2,2,3,5,5,0
342,4,4,1,3,0,3,4,4,4
343,1,1,2,5,1,1,4,1,6
344,4,1,0,1,5,1,0,2,2
345,3,3,0,5,1,1,4,0,0
346,5,3,0,4,4,4,1,6,1
347,3,0,3,3,0,3,0,2,2
348,0,1,1,1,1,0,4,4,4
349,7,2,2,1,1,1,2,2,2
350,3,3,3,1,1,0,3,7,3
351,3,0,4,7,4,0,4,1,6
352,1,2,7,4,0,4,6,1,1
353,7,2,2,3,3,7,5,5,0
354,4,6,4,4,1,5,0,2,2
355,4,4,1,1,1,1,4,1,6
356,1,1,2,2,2,2,2,2,5
357,5,3,0,3,3,3,0,0,4
358,3,3,3,0,4,4,1,1,2
359,1,1,1,4,1,5,3,4,0
360,0,3,3,3,3,3,5,0,3
361,0,0,1,6,2,2,4,1,6
362,1,1,1,2,2,3,1,2,0
363,3,3,0,0,3,3,2,5,5
364,0,0,1,7,4,0,3,4,0
365,3,3,3,4,4,1,2,5,5
366,7,2,2,1,1,0,0,3,7
367,0,3,3,2,2,2,6,1,1
368,0,1,1,2,3,0,1,1,2
369,1,2,7,1,1,1,3,4,0
370,4,4,1,2,2,2,4,4,1
371,0,1,1,0,4,4,4,0,0
372,3,3,3,1,1,1,4,0,0
373,2,2,2,3,7,4,7,3,3
374,2,7,2,3,3,7,4,4,4
375,3,0,3,2,2,3,2,5,5
376,4,4,4,0,4,4,3,4,0
377,0,1,1,2,2,3,5,5,0
378,2,5,5,3,0,3,4,4,4
379,4,4,4,0,2,6,4,4,1
380,7,2,2,3,3,7,3,3,4
381,1,1,1,1,5,1,2,2,5
382,3,3,0,4,4,4,4,0,0
383,7,2,2,5,1,1,5,5,0
384,4,4,4,3,7,4,3,3,3
385,3,3,3,1,1,1,2,2,2
386,0,1,1,3,7,4,4,4,4
387,4,6,4,3,0,3,2,5,5
388,1,1,1,2,6,2,4,0,0
389,2,5,5,7,4,0,1,6,1
390,0,4,6,1,5,1,0,4,4
391,3,0,3,4,4,1,4,0,0
392,7,2,2,4,4,1,1,2,0
393,2,2,2,7,4,0,5,5,0
394,0,0,1,2,2,3,0,4,4
395,6,4,4,2,2,2,7,3,3
396,3,3,3,1,1,1,1,6,1
397,3,3,3,6,2,2,1,1,1
398,3,0,4,5,1,1,5,5,0
399,1,2,7,1,1,0,7,3,3
400,3,0,3,0,4,4,5,5,0
401,2,2,2,1,1,1,6,1,1
402,2,2,5,7,4,0,0,0,4
403,3,3,3,3,0,3,1,2,0
404,2,7,2,0,4,4,0,2,2
405,3,0,3,5,1,1,3,7,3
406,3,0,4,3,3,3,2,2,2
407,2,5,5,1,5,1,0,3,7
408,5,5,3,4,4,1,7,3,3
409,7,2,2,0,2,6,3,7,3
410,1,2,7,0,2,6,4,4,4
411,1,0,0,3,7,4,3,7,3
412,5,5,3,1,0,2,0,0,4
413,7,2,2,0,4,4,1,2,0
414,0,3,3,2,3,0,1,6,1
415,7,2,2,0,4,4,4,4,4
416,0,0,1,6,2,2,3,4,0
417,1,0,0,7,4,0,3,3,3
418,0,1,1,4,4,1,0,4,4
419,3,3,0,4,4,4,0,4,4
420,0,4,6,4,0,4,2,2,5
421,4,1,0,2,2,3,3,3,4
422,4,4,1,4,4,4,0,0,4
423,4,4,1,4,4,1,1,1,2
424,1,0,0,2,3,0,1,1,1
425,1,0,0,1,5,1,6,1,1
426,3,0,3,3,0,3,4,1,6
427,7,2,2,3,3,3,2,5,5
428,2,7,2,5,1,1,2,2,2
429,2,2,5,5,1,1,2,0,2
430,4,4,4,2,2,3,1,1,2
431,3,3,3,0,4,4,3,4,0
432,2,2,5,2,3,0,2,2,5
433,4,4,4,3,3,3,4,4,4
434,1,1,1,3,0,3,2,5,5
435,1,2,7,2,6,2,4,1,6
436,3,0,3,4,4,4,0,2,2
437,2,7,2,0,3,3,3,3,3
438,0,0,1,4,1,5,7,3,3
439,2,2,2,2,2,3,2,2,5
440,1,0,0,2,3,0,7,3,3
441,2,2,5,4,4,4,0,4,4
442,3,0,4,0,4,4,0,4,4
443,1,2,7,4,0,4,0,4,4
444,1,0,0,2,3,0,2,5,5
445,5,5,3,4,4,4,3,3,4
446,2,7,2,3,7,4,7,3,3
447,4,4,4,2,3,0,5,5,0
448,4,6,4,7,4,0,1,2,0
449,0,4,6,2,6,2,4,4,1
450,7,2,2,0,3,3,1,1,1
451,0,1,1,2,2,2,3,4,0
452,0,3,3,7,4,0,0,4,4
453,2,2,5,5,1,1,1,1,2
454,0,4,6,4,4,4,0,3,7
455,4,1,0,2,2,3,0,2,2
456,6,4,4,4,1,5,2,5,5
457,0,0,1,2,2,2,2,2,5
458,1,0,0,4,1,5,1,2,0
459,3,3,3,0,2,6,2,5,5
460,4,6,4,0,2,6,5,5,0
461,4,6,4,4,4,1,0,0,4
462,6,4,4,1,0,2,4,1,6
463,4,4,4,2,6,2,2,0,2
464,3,3,3,2,3,0,3,3,4
465,0,1,1,4,1,5,4,4,4
466,1,1,1,5,1,1,3,4,0
467,3,3,0,0,4,4,3,3,4
468,3,0,3,2,2,3,2,0,2
469,2,5,5,4,0,4,2,2,5
470,2,2,2,5,1,1,7,3,3
471,2,2,5,1,5,1,3,3,4
472,4,1,0,4,1,5,2,2,2
473,2,7,2,5,1,1,0,2,2
474,1,2,7,0,2,6,0,4,4
475,1,0,0,4,4,1,3,7,3
476,0,1,1,4,0,4,4,4,4
477,2,2,5,2,2,2,2,2,2
478,2,2,2,3,0,3,0,2,2
479,2,5,5,1,0,2,6,1,1
480,0,0,1,3,0,3,4,4,4
481,0,3,3,5,1,1,0,4,4
482,7,2,2,2,2,3,5,5,0
483,7,2,2,2,3,0,3,4,0
484,0,1,1,4,4,1,2,2,5
485,2,2,5,3,7,4,2,2,5
486,4,4,4,3,3,3,2,5,5
487,7,2,2,3,3,3,2,5,5
488,2,2,2,0,2,6,0,0,4
489,5,3,0,3,3,3,3,3,3
490,5,3,0,3,3,7,4,4,4
491,0,1,1,3,3,3,6,1,1
492,0,3,3,2,2,2,1,2,0
493,1,0,0,3,0,3,4,4,1
494,1,2,7,4,0,4,0,0,4
495,4,6,4,1,1,1,0,4,4
496,0,1,1,1,5,1,0,2,2
497,5,5,3,0,4,4,3,3,4
498,3,3,3,0,4,4,4,4,1
499,1,2,7,3,3,7,0,0,4
500,4,4,1,1,1,0,2,2,2
501,1,2,7,5,1,1,6,1,1
502,0,3,3,2,3,0,3,3,3
503,2,7,2,0,3,3,3,4,0
504,3,3,0,2,3,0,1,6,1
505,6,4,4,1,0,2,3,4,0
506,4,4,1,2,2,2,1,1,1
507,7,2,2,0,2,6,1,2,0
508,2,2,5,4,1,5,0,2,2
509,7,2,2,1,5,1,2,5,5
510,3,3,0,7,4,0,6,1,1
511,2,2,5,5,1,1,5,0,3
512,0,4,6,0,3,3,2,0,2
513,0,4,6,3,3,7,3,4,0
514,0,3,3,4,0,4,0,4,4
515,3,0,4,3,3,7,5,5,0
516,7,2,2,5,1,1,4,0,0
517,3,3,0,0,2,6,2,5,5
518,3,3,0,1,0,2,0,4,4
519,3,0,3,0,2,6,4,4,4
520,2,2,5,4,4,1,2,2,2
521,0,1,1,3,0,3,0,0,4
522,0,1,1,6,2,2,1,6,1
523,2,5,5,6,2,2,2,2,5
524,5,5,3,1,1,1,4,4,4
525,2,7,2,5,1,1,2,2,5
526,2,7,2,3,3,7,5,0,3
527,6,4,4,2,3,0,2,2,2
528,2,7,2,1,1,1,0,2,2
529,4,1,0,7,4,0,0,4,4
530,4,1,0,3,0,3,1,6,1
531,3,3,0,3,7,4,2,5,5
532,5,3,0,1,0,2,1,1,2
533,2,5,5,4,1,5,1,2,0
534,2,5,5,2,6,2,2,5,5
535,5,5,3,2,6,2,5,5,0
536,4,1,0,5,1,1,2,2,5
537,0,1,1,3,0,3,4,0,0
538,7,2,2,2,2,3,0,0,4
539,0,3,3,2,3,0,3,7,3
540,0,0,1,2,2,2,1,1,1
541,1,0,0,1,5,1,1,2,0
542,5,5,3,2,2,3,3,3,4
543,3,3,3,4,4,4,3,3,4
544,2,2,5,3,7,4,1,1,1
545,4,6,4,2,3,0,1,1,2
546,0,3,3,3,3,3,6,1,1
547,0,1,1,2,2,3,1,6,1
548,4,6,4,0,4,4,5,5,0
549,0,0,1,6,2,2,2,0,2
550,3,0,3,2,6,2,7,3,3
551,2,5,5,0,2,6,1,2,0
552,3,3,0,2,3,0,4,4,4
553,1,1,1,0,3,3,4,1,6
554,2,7,2,0,3,3,3,3,3
555,0,3,3,4,0,4,6,1,1
556,2,2,5,1,5,1,5,5,0
557,2,2,5,5,1,1,4,0,0
558,3,0,4,2,2,2,4,4,1
559,2,2,5,4,4,4,4,4,1
560,2,5,5,4,0,4,5,0,3
561,2,2,5,4,0,4,0,0,4
562,5,5,3,0,4,4,0,0,4
563,3,3,3,0,4,4,0,0,4
564,4,1,0,1,1,1,4,4,1
565,6,4,4,2,2,3,4,1,6
566,3,0,4,2,3,0,0,3,7
567,1,1,2,5,1,1,4,4,1
568,4,4,1,5,1,1,0,0,4
569,0,0,1,1,1,1,2,2,2
570,4,1,0,3,0,3,7,3,3
571,0,0,1,0,4,4,2,2,2
572,3,0,3,2,2,3,3,4,0
573,1,1,1,4,1,5,2,0,2
574,0,4,6,7,4,0,4,4,1
575,3,3,3,3,0,3,4,4,4
576,3,0,4,4,4,4,2,0,2
577,6,4,4,3,0,3,3,7,3
578,5,5,3,2,2,2,1,2,0
579,0,0,1,0,2,6,3,7,3
580,2,2,5,4,4,1,7,3,3
581,4,1,0,0,2,6,1,6,1
582,2,5,5,1,1,0,4,0,0
583,5,3,0,1,0,2,1,1,2
584,0,0,1,1,1,0,3,4,0
585,0,3,3,3,3,7,1,1,2
586,1,2,7,0,4,4,2,2,2
587,3,3,3,0,4,4,4,4,4
588,4,6,4,3,3,7,1,1,1
589,6,4,4,2,3,0,1,1,1
590,6,4,4,0,2,6,0,2,2
591,3,0,4,0,2,6,0,2,2
592,4,4,1,2,2,2,4,4,1
593,1,2,7,4,1,5,1,6,1
594,2,7,2,0,3,3,0,2,2
595,4,6,4,4,0,4,3,4,0
596,1,1,1,3,0,3,0,4,4
597,3,0,3,3,0,3,7,3,3
598,0,3,3,2,6,2,2,5,5
599,0,3,3,4,4,1,6,1,1
600,4,4,1,7,4,0,5,0,3
601,5,3,0,3,3,7,2,5,5
602,1,1,1,3,0,3,6,1,1
603,4,4,1,0,3,3,1,2,0
604,7,2,2,4,4,4,2,2,5
605,4,6,4,1,1,0,3,4,0
606,2,7,2,1,1,1,0,2,2
607,4,4,1,6,2,2,7,3,3
608,3,0,4,4,1,5,7,3,3
609,3,3,3,0,4,4,6,1,1
610,0,0,1,2,2,2,0,3,7
611,2,7,2,2,2,2,1,6,1
612,0,0,1,2,3,0,2,0,2
613,4,6,4,3,0,3,0,3,7
614,5,5,3,0,4,4,3,4,0
615,4,1,0,3,3,3,0,3,7
616,3,3,3,4,4,1,1,1,1
617,6,4,4,4,4,1,1,1,2
618,3,3,3,2,6,2,0,0,4
619,1,2,7,3,3,7,1,6,1
620,2,2,2,2,6,2,4,4,4
621,6,4,4,6,2,2,2,2,5
622,2,2,2,0,2,6,0,4,4
623,0,0,1,4,1,5,3,7,3
624,5,3,0,3,7,4,1,1,1
625,0,3,3,4,4,4,3,4,0
626,3,0,3,4,4,4,5,5,0
627,5,3,0,2,2,3,3,7,3
628,4,4,1,2,2,2,2,0,2
629,0,1,1,1,0,2,2,2,5
630,7,2,2,3,7,4,1,1,2
631,3,3,3,4,0,4,1,1,1
632,3,0,3,3,0,3,7,3,3
633,2,5,5,7,4,0,5,0,3
634,4,4,4,4,4,4,7,3,3
635,1,1,1,3,7,4,1,1,2
636,3,3,3,3,0,3,3,3,4
637,2,5,5,2,2,3,2,2,5
638,4,1,0,6,2,2,3,7,3
639,1,1,1,3,3,7,7,3,3
640,3,0,4,2,3,0,0,0,4
641,1,1,2,3,7,4,1,1,1
642,0,0,1,3,0,3,3,4,0
643,1,0,0,0,4,4,2,5,5
644,0,3,3,1,1,0,3,3,3
645,2,5,5,0,2,6,5,5,0
646,2,2,5,6,2,2,2,0,2
647,6,4,4,1,1,0,7,3,3
648,1,1,2,0,2,6,1,6,1
649,4,6,4,1,1,1,4,1,6
650,3,0,3,3,7,4,1,1,1
651,0,1,1,1,1,1,1,1,1
652,1,1,1,2,6,2,0,0,4
653,2,5,5,1,1,0,5,5,0
654,4,1,0,0,4,4,1,2,0
655,2,5,5,2,6,2,7,3,3
656,3,3,0,1,1,1,0,2,2
657,3,3,0,2,6,2,1,1,2
658,1,1,2,3,7,4,3,3,4
659,1,1,2,4,0,4,3,4,0
660,4,1,0,3,7,4,6,1,1
661,4,4,1,2,3,0,1,2,0
662,5,5,3,7,4,0,3,4,0
663,4,4,1,1,5,1,3,3,4
664,4,6,4,7,4,0,6,1,1
665,4,6,4,6,2,2,3,7,3
666,6,4,4,3,3,7,3,7,3
667,1,1,1,4,4,1,6,1,1
668,3,3,0,0,3,3,4,0,0
669,2,2,5,2,3,0,2,2,5
670,5,5,3,3,3,3,1,2,0
671,0,1,1,6,2,2,4,4,4
672,3,3,0,2,6,2,2,0,2
673,2,2,2,7,4,0,0,2,2
674,1,1,1,4,1,5,1,1,2
675,4,4,4,4,1,5,4,4,4
676,0,4,6,3,3,7,3,3,4
677,5,5,3,1,1,1,3,7,3
678,2,2,2,2,3,0,0,4,4
679,1,0,0,1,5,1,4,4,4
680,4,4,4,0,3,3,3,3,3
681,0,3,3,6,2,2,3,3,4
682,6,4,4,4,4,4,4,0,0
683,2,2,5,2,2,2,3,7,3
684,0,3,3,1,1,0,1,1,1
685,3,0,4,4,4,4,0,4,4
686,0,1,1,2,6,2,3,3,3
687,2,5,5,1,0,2,4,4,1
688,1,2,7,0,2,6,1,6,1
689,3,3,0,4,1,5,4,1,6
690,2,7,2,0,3,3,7,3,3
691,4,4,1,3,7,4,5,0,3
